,num_samples,view_group,age_score,gender_score,final_score,numeric_group
1,95293,"(1, 11]",0.49508172633777486,0.747636822459387,0.5361925343306143,1
2,158706,"(1, 21]",0.5177150887440907,0.7790989130024057,0.5598901798094988,2
3,207561,"(1, 31]",0.5335662212229147,0.79514819600054,0.5746911781705982,3
4,243934,"(1, 41]",0.5476356657257121,0.8049871991386643,0.5865066291487979,4
5,272142,"(1, 51]",0.5581159464481145,0.8125059781768952,0.5953648397153807,5
6,293156,"(1, 61]",0.5672633920138004,0.8185271780868675,0.6029340903947544,6
7,308995,"(1, 71]",0.5760496736245692,0.8229290376444471,0.6097900056768127,7
8,321018,"(1, 81]",0.5828046151303242,0.8270177165354331,0.6152722224927342,8
9,329088,"(1, 91]",0.5873891596248907,0.8292968417468289,0.6188442230877298,9
10,335142,"(1, 101]",0.5914658846921836,0.831585704475562,0.6220992186987443,10
11,338821,"(1, 111]",0.5942804031044471,0.8330154249539378,0.6243012814419829,11
12,341204,"(1, 121]",0.5962532983217211,0.8338567922088205,0.6257966156053305,12
13,342681,"(1, 131]",0.5976997751732664,0.8343398650819146,0.6268528178837323,13
14,343603,"(1, 141]",0.5985858874932001,0.8346836666938481,0.6275142091288703,14
15,344011,"(1, 151]",0.5989545320488672,0.8348793307561861,0.6278051544176422,15
16,344132,"(1, 161]",0.5990618388607821,0.8349383857592305,0.6278904742100619,16
17,344269,"(1, 171]",0.5991792120559531,0.8350007557172919,0.6279831303104381,17
18,344309,"(1, 181]",0.5992242604612873,0.8350189780343058,0.6280169775009027,18
