Важность, Признак
30.764427176003597,title
25.084448441359402,value_counts
13.587202823081263,region
5.047093358830885,ua_client_name
4.338745074441594,ua_os
3.3475391404375467,category
2.972977239351378,ua_device_type
2.9657272544164393,duration
2.78838253607126,day
2.66550620534023,total_watchtime
2.500637889212116,videos_per_day
0.9380286906813406,ua_client_type
0.8122704902995324,hour
0.7599959816005234,hour_cos
0.6925171666832604,day_of_week
0.6898253423085486,hour_sin
0.044675189881512326,is_weekend
