Важность, Признак
41.74748533026378,title
21.378491123296982,value_counts
9.618487619177658,region
5.073603381676279,category
3.3713831302122323,ua_client_name
3.363593758296877,ua_os
3.150110495068648,duration
2.714494080576035,ua_device_type
2.222162637754983,day
2.2173649252151115,videos_per_day
1.4951707600412483,total_watchtime
0.9061010213885592,hour_cos
0.8100519330067482,hour
0.7430196720089832,ua_client_type
0.6040838177577217,day_of_week
0.5556801204650148,hour_sin
0.028716193793003986,is_weekend
